fecha,region,producto,unidades,precio_unitario,cliente_id,importe
2026-02-16,Norte,Gateway,20.0,120.0,C032,2400.0
2026-01-15,Norte,Hub IoT,7.0,85.0,C035,595.0
2026-03-18,Este,Sensor A,12.0,19.5,C012,234.0
2026-03-23,Norte,Sensor A,13.0,19.5,C035,253.5
2026-01-17,Sur,Hub IoT,19.0,83.74,C006,1591.06
2026-03-09,Este,Hub IoT,9.0,83.38,C032,750.42
2026-01-12,Este,Hub IoT,23.0,85.0,C013,1955.0
2026-03-06,Norte,Cable Kit,3.0,12.5,C015,37.5
2026-01-11,Oeste,Cable Kit,1.0,12.5,C023,12.5
2026-02-05,Sur,Sensor A,10.0,19.5,C034,195.0
2026-02-06,Norte,Sensor A,7.0,19.5,C023,136.5
2026-01-17,Norte,Cable Kit,12.0,12.5,C009,150.0
2026-02-08,Este,Hub IoT,21.0,85.0,C031,1785.0
2026-03-16,Este,Hub IoT,10.0,85.0,C025,850.0
2026-01-27,Norte,Cable Kit,2.0,12.5,C029,25.0
2026-04-04,Este,Gateway,16.0,120.0,C038,1920.0
2026-02-11,Sur,Cable Kit,2.0,12.5,C007,25.0
2026-01-14,Norte,Sensor A,3.0,19.59,C004,58.769999999999996
2026-03-13,Sur,Cable Kit,16.0,12.5,C024,200.0
2026-02-13,Norte,Sensor A,24.0,19.5,C009,468.0
2026-02-15,Norte,Sensor B,6.0,32.0,C035,192.0
2026-02-03,Norte,Cable Kit,2.0,12.48,C027,24.96
2026-02-03,Sur,Sensor A,22.0,19.5,C032,429.0
2026-02-20,Sur,Sensor B,15.0,31.79,C033,476.84999999999997
2026-01-12,Este,Sensor B,9.0,32.0,C001,288.0
2026-02-08,Norte,Gateway,13.0,120.0,C004,1560.0
2026-01-14,Este,Gateway,18.0,120.0,C004,2160.0
2026-02-28,Norte,Hub IoT,17.0,85.0,C020,1445.0
2026-01-06,Este,Cable Kit,22.0,12.5,C020,275.0
2026-02-10,Oeste,Sensor B,19.0,32.0,C039,608.0
2026-01-29,Norte,Sensor A,1.0,19.0,C013,19.0
2026-02-12,Oeste,Sensor A,5.0,19.5,C027,97.5
2026-01-20,Este,Cable Kit,5.0,12.5,C040,62.5
2026-01-10,Norte,Cable Kit,4.0,12.5,C030,50.0
2026-02-14,Este,Cable Kit,17.0,12.5,C004,212.5
2026-01-24,Este,Hub IoT,24.0,85.0,C005,2040.0
2026-02-06,Este,Hub IoT,19.0,85.0,C017,1615.0
2026-03-26,Este,Sensor A,3.0,19.5,C037,58.5
2026-02-04,Sur,Gateway,21.0,120.0,C019,2520.0
2026-02-02,Sur,Cable Kit,24.0,13.08,C011,313.92
2026-03-24,Este,Sensor A,24.0,19.5,C013,468.0
2026-03-07,Oeste,Cable Kit,23.0,12.5,C032,287.5
2026-01-08,Sur,Gateway,22.0,120.0,C013,2640.0
2026-01-27,Oeste,Gateway,8.0,120.0,C026,960.0
2026-01-09,Este,Sensor B,19.0,33.5,C035,636.5
2026-01-05,Este,Sensor B,3.0,30.73,C010,92.19
2026-02-20,Sur,Cable Kit,15.0,12.48,C029,187.20000000000002
2026-03-27,Este,Sensor A,15.0,19.5,C002,292.5
2026-02-17,Sur,Sensor A,12.0,19.5,C018,234.0
2026-03-02,Norte,Cable Kit,12.0,12.5,C022,150.0
2026-03-29,Oeste,Gateway,10.0,120.0,C022,1200.0
2026-01-21,Sur,Gateway,20.0,120.0,C022,2400.0
2026-02-16,Oeste,Cable Kit,23.0,12.5,C027,287.5
2026-02-24,Este,Hub IoT,4.0,85.0,C037,340.0
2026-02-17,Oeste,Sensor B,12.0,32.0,C021,384.0
2026-01-05,Norte,Sensor B,22.0,32.0,C009,704.0
2026-03-25,Este,Gateway,13.0,120.0,C004,1560.0
2026-01-31,Este,Hub IoT,4.0,85.0,C034,340.0
2026-01-16,Norte,Gateway,4.0,120.0,C027,480.0
2026-02-13,Oeste,Cable Kit,16.0,12.5,C016,200.0
2026-03-12,Norte,Sensor B,12.0,32.0,C023,384.0
2026-01-07,Norte,Sensor A,7.0,19.5,C034,136.5
2026-01-19,Sur,Cable Kit,14.0,12.5,C009,175.0
2026-02-19,Norte,Gateway,5.0,120.0,C038,600.0
2026-02-25,Oeste,Hub IoT,15.0,85.0,C033,1275.0
2026-01-30,Sur,Gateway,11.0,120.0,C032,1320.0
2026-03-01,Este,Sensor B,20.0,32.0,C032,640.0
2026-04-02,Oeste,Hub IoT,23.0,84.3,C015,1938.8999999999999
2026-03-08,Norte,Sensor B,5.0,32.0,C025,160.0
2026-02-07,Oeste,Gateway,21.0,120.0,C004,2520.0
2026-02-14,Norte,Hub IoT,22.0,85.0,C023,1870.0
2026-03-19,Sur,Sensor B,20.0,32.0,C005,640.0
2026-01-10,Norte,Cable Kit,4.0,12.5,C027,50.0
2026-03-04,Sur,Gateway,12.0,120.0,C033,1440.0
2026-02-12,Norte,Gateway,4.0,120.0,C001,480.0
2026-03-05,Este,Sensor A,24.0,19.5,C027,468.0
2026-03-22,Sur,Sensor B,17.0,32.0,C035,544.0
2026-01-31,Norte,Sensor B,1.0,32.0,C007,32.0
2026-02-18,Sur,Sensor B,23.0,32.84,C037,755.32
2026-02-02,Norte,Hub IoT,24.0,85.0,C034,2040.0
2026-04-01,Oeste,Sensor A,3.0,19.5,C016,58.5
2026-02-10,Sur,Sensor B,15.0,32.0,C031,480.0
2026-02-23,Sur,Sensor A,9.0,19.5,C037,175.5
2026-03-15,Este,Gateway,10.0,120.0,C027,1200.0
2026-01-26,Sur,Sensor A,13.0,19.5,C035,253.5
2026-01-28,Norte,Cable Kit,11.0,12.5,C010,137.5
2026-03-28,Este,Cable Kit,21.0,12.5,C030,262.5
2026-01-16,Oeste,Sensor B,25.0,33.53,C038,838.25
2026-02-01,Este,Cable Kit,25.0,12.5,C022,312.5
2026-03-30,Este,Gateway,9.0,120.0,C018,1080.0
2026-01-29,Este,Sensor B,10.0,32.0,C002,320.0
2026-03-20,Sur,Sensor A,20.0,19.5,C013,390.0
2026-03-11,Sur,Gateway,6.0,120.0,C010,720.0
2026-01-25,Norte,Hub IoT,9.0,85.0,C004,765.0
2026-01-15,Este,Gateway,16.0,120.0,C009,1920.0
2026-01-22,Oeste,Hub IoT,2.0,85.0,C011,170.0
2026-01-07,Sur,Sensor B,24.0,32.0,C002,768.0
2026-03-10,Norte,Cable Kit,13.0,12.5,C029,162.5
2026-04-03,Sur,Cable Kit,17.0,12.5,C032,212.5
2026-02-11,Sur,Sensor A,20.0,19.5,C030,390.0
2026-03-21,Oeste,Hub IoT,11.0,85.0,C017,935.0
2026-02-15,Sur,Sensor A,16.0,19.5,C027,312.0
2026-01-13,Oeste,Hub IoT,19.0,85.0,C040,1615.0
2026-02-09,Oeste,Sensor B,9.0,32.0,C009,288.0
2026-01-08,Oeste,Sensor B,5.0,32.31,C024,161.55
